"Student.ID","Enrolled.Student.Count","maxCredits","DegreeObtained","Major","StartingTerm","MostRecentTerm","Cum.UG.Crs.GPA","FirstSemester","AdvancedClasses","ChangedMajor","PrimaryTermCount","TwoMajors"
"8061828","1",NA,0,"BA Major",202510,202510,0,1,0,0,1,0
"8061848","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8062031","1",15,0,"BA Major",202510,202510,0,1,0,0,1,0
"8062215","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8062572","1",NA,0,"BA Major",202510,202510,0,1,0,0,1,0
"8063263","1",NA,0,"BA Major",202510,202510,0,1,0,0,1,0
"8063741","1",24,0,"BA Major",202510,202510,0,1,0,0,1,0
"8064301","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8071760","1",24,0,"BA Major",202410,202510,1.97,0,0,0,3,0
"8071769","1",53,0,"BA Major",202410,202510,3.67,0,0,1,3,0
"8078285","1",1,0,"BA Major",202510,202510,0,1,0,0,1,0
"8078814","1",45,0,"BA Major",202510,202510,0,1,0,0,1,0
"8079447","1",0,0,"BA Major",202510,202510,0,1,0,0,1,0
"8079808","1",44,0,"BA Major",202410,202510,3.57,0,0,1,3,0
"8082698","1",67,0,"BA Major",202510,202510,3.81,0,0,0,1,0
"8084216","1",9,0,"BA Major",202510,202510,1.56,0,0,0,1,0
"8085468","1",56,0,"Accountancy",202410,202510,3.1,0,0,1,3,0
"8085741","1",49,0,"BA Major",202410,202510,3.65,0,0,0,3,0
"8088041","1",29,0,"Marketing",202410,202510,2.26,0,0,1,3,0
"8088162","1",26,0,"Marketing",202410,202510,3.41,0,0,1,3,0
"8088163","1",24,0,"BA Major",202410,202510,1.85,0,0,0,3,1
"8088846","1",29,0,"BA Major",202410,202510,2.13,0,0,0,3,0
"8091615","1",39,0,"BA Major",202410,202510,2.95,0,0,0,3,0
"8092370","1",25,0,"BA Major",202410,202510,2.82,0,0,0,3,0
"8093446","1",34,0,"BA Major",202410,202510,2.21,0,0,0,3,0
"8093858","1",59,0,"BA Major",202410,202510,3.41,0,0,0,3,0
"8094275","1",97,0,"BA Major",202410,202510,2.62,0,0,0,3,0
"8094689","1",63,0,"BA Major",202410,202510,3.73,0,0,0,3,0
"8094793","1",42,0,"Finance",202410,202510,3.87,0,0,1,3,0
"8095052","1",42,0,"Accountancy",202410,202510,3.73,0,0,1,3,0
"8096247","1",36,0,"Marketing",202410,202510,3.05,0,0,1,3,0
"8096785","1",29,0,"BA Major",202410,202510,2.69,0,0,0,3,0
"8096793","1",34,0,"BA Major",202410,202510,3.52,0,0,1,3,0
"8097103","1",45,0,"BA Major",202410,202510,3.73,0,0,0,3,0
"8097201","1",32.5,0,"BA Major",202410,202510,3.57,0,0,1,3,0
"8097337","1",52,0,"BA Major",202410,202510,3.38,0,0,0,3,0
"8097617","1",75,0,"BA Major",202410,202510,3.95,0,0,0,3,1
