"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr.(MU.and.Non-MU)","Cum.UG.Overall.Earned.CrHr.(MU.and.Non-MU)"
"8355890","201930",3,3,61.5
"8355890","202010",17,17,78.5
"8355890","202020",16,16,94.5
"8355890","202030",0,3,NA
"8355890","202110",18,18,115.5
"8355890","202120",15,15,130.5
"8357001","201810",16,16,16
"8357001","201820",18,18,34
"8357001","201910",17,17,51
"8357001","201920",18,18,69
"8357001","202010",8,8,77
"8357001","202020",9,9,86
"8357001","202110",6,6,92
"8357001","202120",12,12,104
"8357001","202210",15,15,119
"8357001","202215",3,3,122
"8357001","202220",12,12,134
"8357001","202230",12,12,146
"8364032","201810",16,25,25
"8364032","201820",16,16,41
"8364032","201910",19.5,19.5,60.5
"8364032","201915",3,3,63.5
"8364032","201920",14,14,77.5
"8364032","202010",15,15,92.5
"8364032","202020",20,26,118.5
"8364032","202030",0,0,118.5
"8364032","202110",22,22,140.5
"8364032","202120",15,15,155.5
"8365162","201810",15,30,30
"8365162","201820",13,13,43
"8365162","201830",6,6,49
"8365162","201910",16,16,65
"8365162","201920",15,15,80
"8365162","202010",12,12,92
"8365162","202020",14,14,106
"8365162","202110",12,12,118
"8365162","202120",6,6,124
"8365422","201810",17,49,49
"8365422","201820",14,14,63
"8365422","201830",3,3,66
"8365422","201910",15,15,81
"8365422","201915",3,3,84
"8365422","201920",15,15,99
"8365422","201930",1,1,100
"8365422","202010",9,9,109
"8365422","202015",3,3,112
"8365422","202020",9,9,121
"8365422","202110",6,6,127
"8365422","202115",0,0,127
"8365422","202120",0,0,127
"8366918","201810",17,36,36
"8366918","201820",16,16,52
"8366918","201830",3,3,55
"8366918","201910",15,15,70
"8366918","201920",12,12,82
"8366918","202010",15,15,97
"8366918","202020",15,15,112
"8366918","202110",15,15,127
"8366918","202120",15,15,142
"8368121","201810",16,54,54
"8368121","201820",18,18,72
"8368121","201910",15,15,87
"8368121","201920",15,15,102
"8368121","202010",16,16,118
"8368121","202020",13,13,131
"8368121","202030",3,3,134
"8368121","202110",16,16,150
"8368925","201810",14,39,39
"8368925","201820",15,15,54
"8368925","201910",15,15,69
"8368925","201920",12,12,81
"8368925","202010",12,12,93
"8368925","202020",17,17,110
"8368925","202110",19,19,129
"8369263","201810",17,31,31
"8369263","201820",16,16,47
"8369263","201910",15,15,62
"8369263","201920",16,16,78
"8369263","202010",15,15,93
"8369263","202015",3,3,96
"8369263","202020",15,15,111
"8369263","202110",12,12,123
"8369263","202120",12,12,135
"8369816","201810",15,53,53
"8369816","201820",15,15,68
"8369816","201910",12,12,80
"8369816","201920",14,14,94
"8369816","202010",12,12,106
"8369816","202015",6,6,112
"8369816","202020",18,18,130
"8369816","202110",15,15,145
"8369816","202115",6,6,151
"8369816","202120",18,18,169
"8370493","201810",17,26,26
"8370493","201815",3,3,29
"8370493","201820",16,16,45
"8370493","201910",15,15,60
"8370493","201920",15,15,75
"8370493","202010",15,15,90
"8370493","202110",20,20,110
"8370493","202120",17,17,127
"8371019","201810",14.5,21.5,21.5
"8371019","201820",15,15,36.5
"8371019","201910",15,15,51.5
"8371019","201920",16,16,67.5
"8371019","202010",0,16,83.5
"8371019","202020",15,15,98.5
"8371019","202110",14,14,112.5
"8371019","202120",12,12,124.5
"8372734","201810",17,32,32
"8372734","201820",16,16,48
"8372734","201910",12,12,60
"8372734","201920",15,15,75
"8372734","202010",15,15,90
"8372734","202015",3,3,93
"8372734","202020",14,14,107
"8372734","202110",12,12,119
"8372734","202120",13.5,13.5,132.5
"8372868","201810",15,34,34
"8372868","201820",17,17,51
"8372868","201910",19,19,70
"8372868","201920",17,17,87
"8372868","202010",17,17,104
"8372868","202015",3,3,107
"8372868","202020",21,21,128
"8372868","202110",17,17,145
"8372868","202120",15.5,15.5,160.5
"8372995","201810",17,36,36
"8372995","201820",14,14,50
"8372995","201910",13,13,63
"8372995","201920",15,15,78
"8372995","202010",15,15,93
"8372995","202020",15,15,108
"8372995","202110",15,15,123
"8372995","202115",1,1,124
"8372995","202120",12,12,136
"8373123","201810",12,25,25
"8373123","201820",14,14,39
"8373123","201830",0,5,NA
"8373123","201910",16,16,60
"8373123","201915",2,2,62
"8373123","201920",15,15,77
"8373123","202010",12,12,89
"8373123","202015",6,6,95
"8373123","202020",15,15,110
"8373123","202030",0,3,NA
"8373123","202110",16,16,129
"8373123","202115",3,3,132
"8373123","202120",16,16,148
"8373893","201810",15,42,42
"8373893","201820",16,16,58
"8373893","201910",17,17,75
"8373893","201920",14,14,89
"8373893","202010",15,15,104
"8373893","202020",13,16,120
"8373893","202110",12,15,135
"8373893","202120",15,15,150
"8373905","201810",17,42,42
"8373905","201820",13.5,13.5,55.5
"8373905","201910",15,15,70.5
"8373905","201920",12,12,82.5
"8373905","202010",15,15,97.5
"8373905","202015",3,3,100.5
"8373905","202020",14,14,114.5
"8373905","202030",3,3,117.5
"8373905","202110",12,12,129.5
"8373905","202120",9,9,138.5
"8374059","201810",15,18,18
"8374059","201820",16,16,34
"8374059","201830",0,5,NA
"8374059","201910",17,17,56
"8374059","201915",0,6,NA
"8374059","201920",16,16,78
"8374059","202010",12,12,90
"8374059","202015",3,3,93
"8374059","202020",20,20,113
"8374059","202030",3,3,116
"8374059","202110",12,12,128
"8377224","201810",14,39,39
"8377224","201820",15,15,54
"8377224","201910",15,15,69
"8377224","201915",0,4,73
"8377224","201920",15,15,88
"8377224","202010",15,15,103
"8377224","202020",14,14,117
"8377224","202110",12,12,129
"8377224","202120",6,6,135
"8377378","201810",17,26,26
"8377378","201820",15,15,41
"8377378","201910",14,14,55
"8377378","201920",15,15,70
"8377378","202010",18,18,88
"8377378","202020",16,16,104
"8377378","202110",15,15,119
"8377378","202120",12,12,131
"8378080","201810",17,40,40
"8378080","201820",16,16,56
"8378080","201910",18,18,74
"8378080","201920",16,16,90
"8378080","202010",16,16,106
"8378080","202020",15,15,121
"8378080","202110",16,16,137
"8378080","202120",15,15,152
"8378360","201810",17,33,33
"8378360","201820",15,15,48
"8378360","201910",16,16,64
"8378360","201920",15,15,79
"8378360","201930",6,6,85
"8378360","202010",12,12,97
"8378360","202020",15,15,112
"8378360","202110",12,12,124
"8378360","202120",12,12,136
"8379005","201810",15,32,32
"8379005","201820",16,16,48
"8379005","201910",15,15,63
"8379005","201920",15,15,78
"8379005","201930",9,12,90
"8379005","202010",15,15,105
"8379005","202015",3,3,108
"8379005","202020",16,16,124
"8379005","202030",3,6,130
"8379005","202110",15,15,145
"8379005","202120",12,12,157
"8379300","201810",14,31,31
"8379300","201815",3,3,34
"8379300","201820",13,13,47
"8379300","201910",17,17,64
"8379300","201915",3,3,67
"8379300","201920",15,15,82
"8379300","202010",15,15,97
"8379300","202015",3,3,100
"8379300","202020",15,15,115
"8379300","202110",15,15,130
"8379300","202120",15,15,145
"8379976","201810",17,45,45
"8379976","201820",15,15,60
"8379976","201910",6,6,66
"8379976","201920",16,16,82
"8379976","202010",16,16,98
"8379976","202020",16,16,114
"8379976","202110",12,12,126
"8379976","202120",12,12,138
"8382476","201810",15,54,54
"8382476","201820",15,15,69
"8382476","201910",15,15,84
"8382476","201920",13,13,97
"8382476","202010",12,12,109
"8382476","202015",6,6,115
"8382476","202020",15,15,130
"8382476","202110",0,0,130
"8382476","202115",0,0,130
"8382476","202120",0,0,130
"8382573","201810",15,49,49
"8382573","201820",17,17,66
"8382573","201830",6,6,72
"8382573","201910",16,16,88
"8382573","201920",15,15,103
"8382573","201930",6,6,109
"8382573","202010",15,15,124
"8382573","202015",3,3,127
"8382573","202020",15,15,142
"8382573","202030",3,3,145
"8382573","202110",18,18,163
"8382573","202120",21,21,184
"8383536","201810",16,45,45
"8383536","201820",16,16,61
"8383536","201910",15,15,76
"8383536","201920",12,12,88
"8383536","201930",6,6,94
"8383536","202010",12,12,106
"8383536","202020",11,11,117
"8383536","202110",9,9,126
"8383536","202115",6,6,132
"8383536","202120",12,12,144
"8383536","202210",12,12,156
"8383536","202215",3,3,159
"8383536","202220",15,15,174
"8384327","201810",16,16,16
"8384327","201820",15,15,31
"8384327","201910",15,15,46
"8384327","201915",3,3,49
"8384327","201920",19,19,68
"8384327","202010",15,15,83
"8384327","202020",15,15,98
"8384327","202110",16,16,114
"8384327","202120",10,10,124
"8384480","201810",15,18,18
"8384480","201820",15,15,33
"8384480","201910",15,15,48
"8384480","201915",3,3,51
"8384480","201920",15,15,66
"8384480","202010",15,15,81
"8384480","202020",15,15,96
"8384480","202110",15,15,111
"8384480","202120",12,12,123
"8385582","201810",15,26,26
"8385582","201820",16,16,42
"8385582","201910",15,15,57
"8385582","201915",3,3,60
"8385582","201920",15,15,75
"8385582","202010",15,15,90
"8385582","202015",3,3,93
"8385582","202020",16,16,109
"8385582","202030",3,3,112
"8385582","202110",15,15,127
"8385582","202120",15,15,142
"8385894","201810",15,21,21
"8385894","201820",14,14,35
"8385894","201910",11,11,46
"8385894","201920",15,15,61
"8385894","202010",14,14,75
"8385894","202015",6,6,81
"8385894","202020",13,13,94
"8385894","202110",15,15,109
"8385894","202120",15,15,124
"8386138","201810",17,52,52
"8386138","201820",18,18,70
"8386138","201830",3,3,73
"8386138","201910",17,17,90
"8386138","201915",3,3,93
"8386138","201920",19,19,112
"8386138","202010",18,18,130
"8386138","202020",14,14,144
"8386138","202110",17,17,161
"8386138","202120",16,16,177
"8386140","201810",12,57,57
"8386140","201820",15,15,72
"8386140","201910",16,16,88
"8386140","201920",15,15,103
"8386140","202010",12,12,115
"8386140","202020",0,16,131
"8386140","202110",12,12,143
"8386140","202120",6,6,149
"8386564","201810",16,29,29
"8386564","201820",15,15,44
"8386564","201910",15,15,59
"8386564","201920",15,15,74
"8386564","202010",15,15,89
"8386564","202015",6,6,95
"8386564","202020",15,15,110
"8386564","202110",12,12,122
"8386564","202120",12,12,134
"8387041","201810",15,43,43
"8387041","201820",15,15,58
"8387041","201910",15,15,73
"8387041","201920",15,15,88
"8387041","202010",15,15,103
"8387041","202020",0,16,119
"8387041","202110",12,12,131
"8387041","202120",12,12,143
"8387094","201810",15,15,15
"8387094","201815",0,0,15
"8387094","201820",15,15,30
"8387094","201830",3,3,33
"8387094","201910",16,16,49
"8387094","201920",14,14,63
"8387094","202010",15,15,78
"8387094","202015",3,3,81
"8387094","202020",15,15,96
"8387094","202030",3,3,99
"8387094","202110",15,15,114
"8387094","202115",3,3,117
"8387094","202120",15,15,132
"8387197","201810",16,40,40
"8387197","201820",16,16,56
"8387197","201910",15,18,74
"8387197","201920",15,15,89
"8387197","201930",6,6,95
"8387197","202010",12,12,107
"8387197","202015",6,6,113
"8387197","202020",12,12,125
"8387197","202030",3,3,128
"8387197","202110",12,12,140
"8387197","202120",12,12,152
"8387363","201810",16,23,23
"8387363","201820",14,14,37
"8387363","201910",12,12,49
"8387363","201920",15,15,64
"8387363","202010",15,15,79
"8387363","202020",15,15,94
"8387363","202110",15,15,109
"8387363","202120",12,12,121
"8389050","201810",13,34,34
"8389050","201820",17,17,51
"8389050","201830",3,6,57
"8389050","201910",15,15,72
"8389050","201920",13,13,85
"8389050","202010",0,16,101
"8389050","202015",3,3,104
"8389050","202020",18,18,122
"8389050","202110",14,14,136
"8389050","202120",12,12,148
"8389212","201810",15,35,35
"8389212","201820",16,16,51
"8389212","201830",3,3,54
"8389212","201910",15,15,69
"8389212","201920",17,17,86
"8389212","202010",14,17,103
"8389212","202020",15,15,118
"8389212","202110",15,15,133
"8389212","202120",12,12,145
"8389477","201810",16,19,19
"8389477","201820",15,15,34
"8389477","201910",15,15,49
"8389477","201915",0,4,53
"8389477","201920",15,15,68
"8389477","201930",3,3,71
"8389477","202010",15,15,86
"8389477","202020",15,15,101
"8389477","202030",6,6,107
"8389477","202110",15,15,122
"8389477","202120",12,12,134
"8398087","201810",16,25,25
"8398087","201820",14,14,39
"8398087","201910",16,16,55
"8398087","201915",6,6,61
"8398087","201920",18,18,79
"8398087","201930",1,1,80
"8398087","202010",15,15,95
"8398087","202015",6,6,101
"8398087","202020",12,12,113
"8398087","202110",12,12,125
"8398087","202120",12,12,137
"8398165","201810",17,57,57
"8398165","201815",3,3,60
"8398165","201820",15,15,75
"8398165","201830",0,0,75
"8398165","201910",12,12,87
"8398165","201915",6,6,93
"8398165","201920",17,17,110
"8398165","201930",9,9,119
"8398165","202010",15,15,134
"8398165","202015",3,3,137
"8398165","202020",18,18,155
"8398165","202110",0,0,155
"8398165","202120",0,0,155
"8398303","201910",15,38,38
"8398303","201920",12,12,50
"8398303","202010",12,12,62
"8398303","202020",12,12,74
"8398303","202030",3,6,80
"8398303","202110",13,13,93
"8398303","202120",12,12,105
"8398303","202210",12,12,117
"8398303","202220",9,9,126
"8398329","201810",16,36,36
"8398329","201820",17,17,53
"8398329","201910",15,15,68
"8398329","201920",17.5,17.5,85.5
"8398329","201930",3,3,88.5
"8398329","202010",15,15,103.5
"8398329","202015",6,6,109.5
"8398329","202020",14,14,123.5
"8398329","202110",9,9,132.5
"8398329","202120",14,14,146.5
"8398877","201710",3,3,3
"8398877","201720",3,3,6
"8398877","201810",12,12,18
"8398877","201820",15,15,33
"8398877","201910",14,14,47
"8398877","201920",12,12,59
"8398877","202010",15,15,74
"8398877","202015",3,3,77
"8398877","202020",19,19,96
"8398877","202030",3,3,99
"8398877","202110",13,13,112
"8398877","202115",3,3,115
"8398877","202120",16,16,131
"8398877","202210",17,17,148
"8398877","202215",3,3,151
"8398877","202220",13,13,164
"8401257","201710",11,11,11
"8401257","201720",13,13,24
"8401257","201810",16,34,58
"8401257","201820",18,18,76
"8401257","201910",17,17,93
"8401257","201920",15,15,108
"8401257","202010",13,13,121
"8401257","202020",18,18,139
"8401257","202110",6,6,145
"8401257","202115",0,0,145
"8401257","202120",0,0,145
"8425267","201620",3,3,3
"8425267","201710",6,6,9
"8425267","201720",6,6,15
"8425267","201810",15,15,30
"8425267","201820",14,14,44
"8425267","201910",13,13,57
"8425267","201920",15,15,72
"8425267","202010",15,15,87
"8425267","202020",15,15,102
"8425267","202110",15,15,117
"8425267","202120",12,12,129
"9885956","202210",6,6,6
"Rows 1 - 2115 (All Rows)",NA,NA,NA,NA
