"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Cum.UG.Overall.Earned.CrHr..MU.and.Non.MU.","Student ID"
8095052,202410,13,28,28,NA
8095052,202420,14,14,42,NA
8095052,202510,NA,NA,42,NA
8096120,202410,17,29,29,NA
8096120,202420,17,17,46,NA
8096120,202510,NA,NA,46,NA
8096247,202410,16,22,22,NA
8096247,202420,14,14,36,NA
8096247,202510,NA,NA,36,NA
8096785,202410,15,15,15,NA
8096785,202420,14,14,29,NA
8096785,202510,NA,NA,29,NA
8096793,202410,15,19,19,NA
8096793,202420,15,15,34,NA
8096793,202510,NA,NA,34,NA
8097103,202410,15,33,33,NA
8097103,202420,12,12,45,NA
8097103,202510,NA,NA,45,NA
8097201,202410,15.5,15.5,15.5,NA
8097201,202420,17,17,32.5,NA
8097201,202510,NA,NA,32.5,NA
8097337,202410,15,40,40,NA
8097337,202420,12,12,52,NA
8097337,202510,NA,NA,52,NA
8097337,202520,NA,NA,52,NA
8097617,202410,17,60,60,NA
8097617,202420,15,15,75,NA
8097617,202510,NA,NA,75,NA
8097917,202410,17,26,26,NA
8097917,202420,17,17,43,NA
8097917,202510,NA,NA,43,NA
8098459,202410,15,36,36,NA
8098459,202420,12,12,48,NA
8098459,202510,NA,NA,48,NA
8098511,202410,15,22,22,NA
8098511,202420,15,15,37,NA
8098511,202510,NA,NA,37,NA
8098637,202410,15,54,54,NA
8098637,202420,16,16,70,NA
8098637,202510,NA,NA,70,NA
8098693,202410,15,15,15,NA
8098693,202420,16,16,31,NA
8098693,202510,NA,NA,31,NA
8098995,202410,16,19,19,NA
8098995,202420,12,12,31,NA
8098995,202510,NA,NA,31,NA
8099721,202410,15,15,15,NA
8099721,202415,3,3,18,NA
8099721,202420,15,15,33,NA
8099721,202510,NA,NA,33,NA
8099820,202410,15.5,15.5,15.5,NA
8099820,202420,14,14,29.5,NA
8099820,202510,NA,NA,29.5,NA
8100116,202410,18,18,18,NA
8100116,202420,15,15,33,NA
8100116,202510,NA,NA,33,NA
8100342,202410,16,33,33,NA
8100342,202420,15,15,48,NA
8100342,202510,NA,NA,48,NA
8100342,202520,NA,NA,48,NA
8100526,202410,16,16,16,NA
8100526,202420,13,13,29,NA
8100526,202430,0,4,NA,NA
8100526,202510,NA,NA,33,NA
8100549,202410,16,16,16,NA
8100549,202415,3,3,19,NA
8100549,202420,15,15,34,NA
8100549,202510,NA,NA,34,NA
8100549,202515,NA,NA,34,NA
8100919,202410,13.5,13.5,13.5,NA
8100919,202420,14,14,27.5,NA
8100919,202510,NA,NA,27.5,NA
8101018,202410,16,42,42,NA
8101018,202420,14,14,56,NA
8101018,202510,NA,NA,56,NA
8101018,202520,NA,NA,56,NA
8101123,202410,15,15,15,NA
8101123,202415,2,2,17,NA
8101123,202420,15,15,32,NA
8101123,202430,3,3,35,NA
8101123,202510,NA,NA,35,NA
8101143,202410,16,19,19,NA
8101143,202420,17,17,36,NA
8101143,202510,NA,NA,36,NA
8101331,202410,17,56,56,NA
8101331,202420,16,16,72,NA
8101331,202510,NA,NA,72,NA
8101424,202410,17,37,37,NA
8101424,202415,3,3,40,NA
8101424,202420,17,17,57,NA
8101424,202430,6,12,69,NA
8101424,202510,NA,NA,69,NA
8101424,202515,NA,NA,69,NA
8101439,202410,15,27,27,NA
8101439,202415,3,3,30,NA
8101439,202420,15,15,45,NA
8101439,202430,3,3,48,NA
8101439,202510,NA,NA,48,NA
8101439,202515,NA,NA,48,NA
8101439,202520,NA,NA,48,NA
8101878,202410,17,41,41,NA
8101878,202420,15,15,56,NA
8101878,202510,NA,NA,56,NA
8102153,202410,15,31,31,NA
8102153,202420,14,14,45,NA
8102153,202510,NA,NA,45,NA
8102286,202410,17,35,35,NA
8102286,202420,15,15,50,NA
8102286,202510,NA,NA,50,NA
8102295,202410,15,39,39,NA
8102295,202420,15,15,54,NA
8102295,202510,NA,NA,54,NA
8102295,202520,NA,NA,54,NA
8102400,202410,17,52,52,NA
8102400,202420,16,16,68,NA
8102400,202510,NA,NA,68,NA
8102524,202410,15,27,27,NA
8102524,202420,14,14,41,NA
8102524,202510,NA,NA,41,NA
8102798,202410,16,44,44,NA
8102798,202420,12,12,56,NA
8102798,202430,8,8,64,NA
8102798,202510,NA,NA,64,NA
8102811,202410,8,8,8,NA
8102811,202415,3,3,11,NA
8102811,202420,10,10,21,NA
8102811,202510,NA,NA,21,NA
8102842,202410,15,30,30,NA
8102842,202420,15,15,45,NA
8102842,202510,NA,NA,45,NA
8102851,202410,15,37,37,NA
8102851,202420,16,16,53,NA
8102851,202510,NA,NA,53,NA
8102908,202410,13,33,33,NA
8102908,202420,12,12,45,NA
8102908,202510,NA,NA,45,NA
8103304,202410,17,30,30,NA
8103304,202420,15,15,45,NA
8103304,202510,NA,NA,45,NA
8103469,202410,15,37,37,NA
8103469,202420,16,16,53,NA
8103469,202510,NA,NA,53,NA
8103883,202410,16,16,16,NA
8103883,202420,15,15,31,NA
8103883,202510,NA,NA,31,NA
8103883,202515,NA,NA,31,NA
8103899,202410,15,19,19,NA
8103899,202420,15,15,34,NA
8103899,202510,NA,NA,34,NA
8104179,202410,15,15,15,NA
8104179,202420,14,14,29,NA
8104179,202510,0,0,29,NA
8104179,202515,NA,NA,29,NA
8104279,202410,17,17,17,NA
8104279,202420,15,15,32,NA
8104279,202510,NA,NA,32,NA
8104556,202410,15,19,19,NA
8104556,202420,17,17,36,NA
8104556,202510,NA,NA,36,NA
8104584,202410,15,47,47,NA
8104584,202420,15,15,62,NA
8104584,202510,NA,NA,62,NA
8104584,202520,NA,NA,62,NA
8104623,202410,16,16,16,NA
8104623,202420,14,14,30,NA
8104748,202410,16,16,16,NA
8104748,202420,18,18,34,NA
8104748,202510,NA,NA,34,NA
8104808,202410,15,34,34,NA
8104808,202415,4,4,38,NA
8104808,202420,18,18,56,NA
8104808,202510,NA,NA,56,NA
8104842,202410,15,21,21,NA
8104842,202415,2,2,23,NA
8104842,202420,14,14,37,NA
8104842,202510,NA,NA,37,NA
8104880,202410,16,45,45,NA
8104880,202420,15,15,60,NA
8104880,202510,NA,NA,60,NA
8105202,202410,15,15,15,NA
8105202,202420,14,14,29,NA
8105202,202510,NA,NA,29,NA
8105427,202410,17,17,17,NA
8105427,202420,17,17,34,NA
8105427,202510,NA,NA,34,NA
8105588,202410,16,16,16,NA
8105588,202420,14,14,30,NA
8105588,202430,4,4,34,NA
8105588,202510,NA,NA,34,NA
8105593,202410,15,27,27,NA
8105593,202420,16,16,43,NA
8105593,202510,NA,NA,43,NA
8105742,202410,17,52,52,NA
8105742,202420,18,18,70,NA
8105742,202510,NA,NA,70,NA
8105892,202410,16,20,20,NA
8105892,202420,14,14,34,NA
8105892,202510,NA,NA,34,NA
8106266,202410,13,13,13,NA
8106266,202415,3,3,16,NA
8106266,202420,8,8,24,NA
8106266,202510,0,0,24,NA
8107035,202410,14,14,14,NA
8107035,202415,6,6,20,NA
8107035,202420,16,16,36,NA
8107035,202510,0,0,36,NA
8107364,202410,15,27,27,NA
8107364,202420,16,16,43,NA
8107379,202410,16,46,46,NA
8107379,202420,16,16,62,NA
8107379,202510,NA,NA,62,NA
8107437,202410,16,37,37,NA
8107437,202420,15,15,52,NA
8107437,202510,NA,NA,52,NA
8107639,202410,16,23,23,NA
8108201,202410,15,36,36,NA
8108201,202420,15,15,51,NA
8108201,202510,NA,NA,51,NA
8109038,202410,15,15,15,NA
8109038,202415,3,3,18,NA
8109038,202420,13,13,31,NA
8109038,202430,5,5,36,NA
8109038,202510,NA,NA,36,NA
8109038,202520,NA,NA,36,NA
8109170,202410,15,61,61,NA
8109170,202415,3,3,64,NA
8109170,202420,17,17,81,NA
8109170,202510,NA,NA,81,NA
8109170,202520,NA,NA,81,NA
8109428,202410,16,16,16,NA
8109428,202420,15,15,31,NA
8109428,202430,6,9,40,NA
8109428,202510,NA,NA,40,NA
8109574,202410,16,37,37,NA
8109574,202420,16,16,53,NA
8109574,202510,NA,NA,53,NA
8110107,202410,15,52,52,NA
8110107,202420,14,14,66,NA
8110107,202510,NA,NA,66,NA
8110149,202410,17,43,43,NA
8110149,202420,13,13,56,NA
8110149,202510,NA,NA,56,NA
8110213,202410,16,41,41,NA
8110213,202420,17,17,58,NA
8110213,202510,0,0,58,NA
8110213,202515,NA,NA,58,NA
8110325,202410,13,13,13,NA
8110325,202420,18,18,31,NA
8110325,202510,0,0,31,NA
8110325,202520,NA,NA,31,NA
8111107,202410,15,28,28,NA
8111107,202420,15,15,43,NA
8111107,202510,NA,NA,43,NA
8111944,202410,15,34,34,NA
8111944,202420,16,16,50,NA
8111944,202430,6,6,56,NA
8111944,202510,NA,NA,56,NA
8112120,202410,16,22,22,NA
8112120,202420,17,17,39,NA
8112120,202510,NA,NA,39,NA
8112254,202410,15,27,27,NA
8112254,202420,15,15,42,NA
8112254,202430,3,3,45,NA
8112254,202510,NA,NA,45,NA
8112451,202410,17,65,65,NA
8112451,202420,18,18,83,NA
8112451,202430,6,6,89,NA
8112451,202510,NA,NA,89,NA
8112497,202410,16,19,19,NA
8112497,202415,6,6,25,NA
8112497,202420,14,14,39,NA
8112497,202510,NA,NA,39,NA
8112667,202410,15,24,24,NA
8112667,202420,14,14,38,NA
8112667,202510,NA,NA,38,NA
8112942,202410,15,15,15,NA
8112942,202420,15,15,30,NA
8112942,202510,NA,NA,30,NA
8112942,202520,NA,NA,30,NA
8113087,202410,15,15,15,NA
8113087,202420,15,15,30,NA
8113087,202510,NA,NA,30,NA
8113388,202410,14,47,47,NA
8113388,202420,12,12,59,NA
8113388,202510,NA,NA,59,NA
8113388,202515,NA,NA,59,NA
8113623,202410,15,50,50,NA
8113623,202420,15,15,65,NA
8113623,202510,NA,NA,65,NA
8113661,202410,17,17,17,NA
8113661,202420,16,16,33,NA
8113661,202510,0,0,33,NA
8113775,202410,15,49,49,NA
8113775,202415,3,3,52,NA
8113775,202420,18,18,70,NA
8113775,202510,NA,NA,70,NA
8113775,202520,NA,NA,70,NA
8113883,202410,17,17,17,NA
8113883,202415,3,3,20,NA
8113883,202420,14,14,34,NA
8113883,202430,6,6,40,NA
8113883,202510,NA,NA,40,NA
8113883,202515,NA,NA,40,NA
8113883,202520,NA,NA,40,NA
8113913,202410,14,14,14,NA
8113913,202420,12,12,26,NA
8113913,202510,NA,NA,26,NA
8113952,202410,17,25,25,NA
8113952,202415,2,2,27,NA
8113952,202420,15,15,42,NA
8113952,202510,NA,NA,42,NA
8114030,202410,16,16,16,NA
8114030,202420,17,17,33,NA
8114030,202510,NA,NA,33,NA
8114030,202520,NA,NA,33,NA
8114059,202410,15,30,30,NA
8114059,202420,17,17,47,NA
8114059,202510,NA,NA,47,NA
8114059,202515,NA,NA,47,NA
8114711,202410,16,29,29,NA
8114711,202420,16,16,45,NA
8114711,202510,NA,NA,45,NA
8114906,202410,15,24,24,NA
8114906,202420,15,15,39,NA
8114906,202430,5,5,44,NA
8114906,202510,2,2,46,NA
8114983,202410,14,14,14,NA
8114983,202420,12,12,26,NA
8114983,202510,NA,NA,26,NA
8115221,202410,13,13,13,NA
8115221,202420,17,17,30,NA
8115233,202410,17,17,17,NA
8115233,202420,15,15,32,NA
8115233,202510,NA,NA,32,NA
8115369,202410,15,39,39,NA
8115369,202420,15,15,54,NA
8115369,202510,NA,NA,54,NA
8115647,202410,13,13,13,NA
8115647,202420,14,14,27,NA
8115647,202510,2,2,29,NA
8116045,202410,16,41,41,NA
8116045,202420,15,15,56,NA
8116045,202510,NA,NA,56,NA
8116163,202410,16,41,41,NA
8116163,202420,16,16,57,NA
8116163,202510,NA,NA,57,NA
8116176,202410,16,25,25,NA
8116176,202420,17,17,42,NA
8116176,202510,NA,NA,42,NA
8116670,202410,13,33,33,NA
8116670,202420,16,16,49,NA
8116670,202510,0,0,49,NA
8116997,202410,16,29,29,NA
8116997,202420,14,14,43,NA
8116997,202510,NA,NA,43,NA
8117385,202410,16,38,38,NA
8117385,202420,16,16,54,NA
8117385,202510,NA,NA,54,NA
8117466,202510,0,59,59,NA
8117466,202515,NA,NA,59,NA
8117466,202520,NA,NA,59,NA
8118379,202410,15,45,45,NA
8118379,202420,16,16,61,NA
8118379,202510,NA,NA,61,NA
8118379,202515,NA,NA,61,NA
8118561,202410,16,16,16,NA
8118561,202420,14,14,30,NA
8118561,202510,NA,NA,30,NA
8118561,202515,NA,NA,30,NA
8119708,202330,3,3,3,NA
8119708,202410,15,24,27,NA
8119708,202420,15,15,42,NA
8119708,202430,0,5,NA,NA
8119708,202510,NA,NA,47,NA
8119708,202515,NA,NA,47,NA
8119865,202410,17,26,26,NA
8119865,202420,17,17,43,NA
8119865,202510,NA,NA,43,NA
8120083,202410,17,20,20,NA
8120083,202420,15,15,35,NA
8120083,202510,NA,NA,35,NA
8120083,202515,NA,NA,35,NA
8120083,202520,NA,NA,35,NA
8121036,202410,16,28,28,NA
8121036,202420,16,16,44,NA
8121036,202510,NA,NA,44,NA
8121036,202515,NA,NA,44,NA
8121360,202410,15,55,55,NA
8121360,202420,15,15,70,NA
8121360,202510,NA,NA,70,NA
8121360,202515,NA,NA,70,NA
8121637,202410,15,15,15,NA
8121637,202420,13,13,28,NA
8121637,202510,NA,NA,28,NA
8121637,202520,NA,NA,28,NA
8124223,202410,17,26,26,NA
8124223,202420,17,17,43,NA
8124223,202510,NA,NA,43,NA
8124223,202520,NA,NA,43,NA
8124641,202310,15,21,21,NA
8124641,202320,15,15,36,NA
8124641,202410,15,15,51,NA
8124641,202420,15,15,66,NA
8124641,202510,3,3,69,NA
8124641,202515,NA,NA,69,NA
8125971,202310,14,50,50,NA
8125971,202320,14,14,64,NA
8125971,202410,15,15,79,NA
8125971,202415,6,6,85,NA
8125971,202420,12,12,97,NA
8125971,202510,NA,NA,97,NA
8125971,202515,NA,NA,97,NA
8125971,202520,NA,NA,97,NA
8126128,202310,15,24,24,NA
8126128,202320,9,9,33,NA
8128246,202310,17,45,45,NA
8128246,202320,16,16,61,NA
8128246,202410,17,17,78,NA
8128246,202420,17,17,95,NA
8128246,202510,NA,NA,95,NA
8129036,202310,12,21,21,NA
8129036,202320,11,11,32,NA
8129036,202410,12,12,44,NA
8129036,202415,6,6,50,NA
8129036,202420,12,12,62,NA
8129036,202510,NA,NA,62,NA
8129435,202230,4,4,4,NA
8129435,202310,16,34,38,NA
8129435,202320,15,15,53,NA
8129435,202330,4,4,57,NA
8129435,202410,15,15,72,NA
8129435,202420,15,15,87,NA
8129435,202430,6,6,93,NA
8129435,202510,NA,NA,93,NA
8129435,202515,NA,NA,93,NA
8129482,202310,17,29,29,NA
8129482,202320,17,17,46,NA
8129482,202410,15,15,61,NA
8129482,202420,16,16,77,NA
8129482,202510,0,0,77,NA
8129662,202310,15,15,15,NA
8129662,202320,12,12,27,NA
8129662,202410,14,14,41,NA
8129662,202420,15,15,56,NA
8129662,202510,NA,NA,56,NA
8130203,202310,15,79,79,NA
8130203,202320,16,16,95,NA
8130203,202410,15,15,110,NA
8130203,202420,0,16,126,NA
8130203,202510,NA,NA,126,NA
8131023,202310,15,15,15,NA
8131023,202320,16,16,31,NA
8131023,202410,12,12,43,NA
8131023,202420,15,15,58,NA
8131023,202430,7,7,65,NA
8131023,202510,NA,NA,65,NA
8132465,202230,4,4,4,NA
8132465,202310,16,28,32,NA
8132465,202320,17,17,49,NA
8132465,202410,15,15,64,NA
8132465,202420,15,15,79,NA
8132465,202510,NA,NA,79,NA
8132721,202310,17,51,51,NA
8132721,202320,15,15,66,NA
8132721,202330,3,3,69,NA
8132721,202410,12,12,81,NA
8132721,202420,12,12,93,NA
8132721,202510,NA,NA,93,NA
8132821,202310,15,39,39,NA
8132821,202320,15,15,54,NA
8132821,202410,15,15,69,NA
8132915,202310,15,33,33,NA
8132915,202320,15,15,48,NA
8132915,202410,16,16,64,NA
8132915,202420,14,14,78,NA
8132915,202510,NA,NA,78,NA
8134173,202310,15,15,15,NA
8134173,202320,12,12,27,NA
8134369,202310,16,16,16,NA
8134369,202320,19,19,35,NA
8134369,202410,17,17,52,NA
8134369,202420,15,15,67,NA
8134369,202430,0,0,67,NA
8134369,202510,NA,NA,67,NA
8135649,202230,4,4,4,NA
8135649,202310,16,16,20,NA
8135649,202320,17,17,37,NA
8135649,202410,15,15,52,NA
8136759,202310,17,36,36,NA
8136759,202320,19,19,55,NA
8136759,202410,15,15,70,NA
8136759,202420,15,15,85,NA
8136759,202510,NA,NA,85,NA
8136759,202515,NA,NA,85,NA
8136759,202520,NA,NA,85,NA
8136901,202310,15,19,19,NA
8136901,202320,14,14,33,NA
8136901,202410,12,12,45,NA
8136901,202420,15,15,60,NA
8136901,202510,NA,NA,60,NA
8137090,202310,15,15,15,NA
8137090,202320,15,15,30,NA
8137163,202310,15,28,28,NA
8137163,202320,14,14,42,NA
8137163,202410,15,15,57,NA
8137163,202420,15,15,72,NA
8137163,202510,NA,NA,72,NA
8137508,202310,15,15,15,NA
8137508,202320,14,14,29,NA
8137508,202330,0,3.5,32.5,NA
8137508,202410,16,16,48.5,NA
8137508,202415,3,3,51.5,NA
8137508,202420,15,15,66.5,NA
8137508,202510,NA,NA,66.5,NA
8137508,202515,NA,NA,66.5,NA
8137508,202520,NA,NA,66.5,NA
8137586,202310,15,41,41,NA
8137586,202320,15,15,56,NA
8137586,202410,15,15,71,NA
8137586,202420,15,15,86,NA
8137586,202510,NA,NA,86,NA
8139289,202310,15,32,32,NA
8139289,202320,18,18,50,NA
8139289,202410,16,16,66,NA
8139289,202420,15,15,81,NA
8139289,202430,0,0,81,NA
8139289,202510,NA,NA,81,NA
8139377,202310,16,16,16,NA
8139377,202320,15,15,31,NA
8139377,202410,16,16,47,NA
8139377,202420,15,15,62,NA
8139377,202510,NA,NA,62,NA
8139377,202515,NA,NA,62,NA
8139377,202520,NA,NA,62,NA
8139622,202310,13,13,13,NA
8140179,202310,14,31,31,NA
8140179,202315,3,3,34,NA
8140179,202320,14,14,48,NA
8140179,202410,15,15,63,NA
8140179,202415,3,3,66,NA
8140179,202420,15,15,81,NA
8140179,202510,NA,NA,81,NA
8140245,202310,16,35,35,NA
8140245,202320,17,17,52,NA
8140245,202410,15,15,67,NA
8140245,202415,3,3,70,NA
8140245,202420,15,15,85,NA
8140245,202510,NA,NA,85,NA
8140245,202520,NA,NA,85,NA
8141118,202310,15,18,18,NA
8141118,202320,15,15,33,NA
8141118,202410,15,15,48,NA
8141118,202420,17,17,65,NA
8141118,202510,NA,NA,65,NA
8141468,202310,15,15,15,NA
8141468,202320,14,14,29,NA
8141468,202410,16,16,45,NA
8141468,202415,6,6,51,NA
8141468,202420,15,15,66,NA
8141468,202510,NA,NA,66,NA
8141468,202520,NA,NA,66,NA
8141755,202310,17,17,17,NA
8141755,202320,14,14,31,NA
8141755,202410,18,18,49,NA
8141755,202420,15,15,64,NA
8141755,202510,NA,NA,64,NA
8142155,202310,17,56,56,NA
8142155,202320,16,16,72,NA
8142155,202410,15,15,87,NA
8142155,202420,15,15,102,NA
8142155,202510,NA,NA,102,NA
8142374,202310,15,21,21,NA
8142374,202320,13,13,34,NA
8142374,202410,15,15,49,NA
8142374,202420,16,16,65,NA
8142374,202510,NA,NA,65,NA
8142423,202310,15,30,30,NA
8142423,202315,4,4,34,NA
8142423,202320,15,15,49,NA
8142423,202410,18,18,67,NA
8142423,202420,17,17,84,NA
8142423,202430,0,3,NA,NA
8142423,202510,NA,NA,87,NA
8142423,202520,NA,NA,87,NA
8142526,202310,13,74,74,NA
8142526,202320,12,12,86,NA
8142526,202410,12,12,98,NA
8142526,202420,12,12,110,NA
8142526,202510,NA,NA,110,NA
8142886,202310,16,28,28,NA
8142886,202320,15,15,43,NA
8142886,202410,16,16,59,NA
8142886,202420,15,15,74,NA
8142886,202510,NA,NA,74,NA
8142886,202515,NA,NA,74,NA
8143408,202310,17,23,23,NA
8143408,202315,3,3,26,NA
8143408,202320,17,17,43,NA
8143408,202410,16,16,59,NA
8143408,202420,15,15,74,NA
8143408,202510,NA,NA,74,NA
8143408,202515,NA,NA,74,NA
8143418,202310,15,47,47,NA
8143418,202320,12,12,59,NA
8143418,202330,0,0,59,NA
8143418,202410,15,15,74,NA
8143418,202420,15,15,89,NA
8143420,202310,16,39,39,NA
8143420,202320,18,18,57,NA
8143420,202410,20,20,77,NA
8143420,202420,0,15,92,NA
8143420,202510,NA,NA,92,NA
8143472,202310,15,15,15,NA
8143472,202320,16,16,31,NA
8143472,202410,15,15,46,NA
8143472,202420,12,12,58,NA
8143472,202510,NA,NA,58,NA
8143654,202310,15,55,55,NA
8143654,202315,3,3,58,NA
8143654,202320,16,16,74,NA
8143654,202410,17,17,91,NA
8143654,202415,0,3,94,NA
8143654,202420,17,17,111,NA
8143654,202510,NA,NA,111,NA
8143798,202310,15,15,15,NA
8143798,202320,15,15,30,NA
8143798,202410,15,15,45,NA
8143798,202420,12,12,57,NA
8143798,202510,NA,NA,57,NA
8143860,202310,17,38,38,NA
8143860,202320,15,15,53,NA
8143860,202410,15,15,68,NA
8143860,202420,18,18,86,NA
8143860,202510,NA,NA,86,NA
8143934,202310,16,40,40,NA
8143934,202320,15,15,55,NA
8143934,202410,16,16,71,NA
8143934,202420,15,15,86,NA
8143934,202510,NA,NA,86,NA
8143936,202310,16,48,48,NA
8143936,202320,15,15,63,NA
8143936,202410,15,15,78,NA
8143936,202420,12,12,90,NA
8143936,202510,NA,NA,90,NA
8144647,202310,4,4,4,NA
8144647,202315,3,3,7,NA
8144647,202320,9,9,16,NA
8144902,202310,16,62,62,NA
8144902,202320,15,15,77,NA
8144902,202410,15,15,92,NA
8144902,202415,3,3,95,NA
8144902,202420,15,15,110,NA
8144902,202510,NA,NA,110,NA
8144914,202310,16,50,50,NA
8144914,202320,15,15,65,NA
8144914,202410,12,12,77,NA
8144914,202420,15,15,92,NA
8144914,202510,NA,NA,92,NA
8144995,202310,17,67,67,NA
8144995,202315,3,3,70,NA
8144995,202320,20,20,90,NA
8144995,202410,20,20,110,NA
8144995,202415,6,6,116,NA
8144995,202420,18,18,134,NA
8144995,202430,3,3,137,NA
8144995,202510,NA,NA,137,NA
8144995,202515,NA,NA,137,NA
