"Student.ID","Term.Code","Degree.Type","Degree","Major","Student.Division.Code","Student.Department.Code","Semesters.to.Degree.Average","AW...Major.Count"
"8325028",202220,"Bachelor","B.S. in Computer Science","Computer Science","CEC","CSE",8,1
"8325151",202320,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",10,1
"8325515",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8326128",202220,"Bachelor","Bachelor of Arts","Mathematics","CAS","MTH",8,1
"8326382",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8326382",202220,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8327017",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8327627",202220,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8328843",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8328875",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8329214",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8329631",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8330104",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8330667",202220,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8330667",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8332131",202220,"Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8332243",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8332399",202210,"Bachelor","B.S. in Business","Marketing","FSB","MKT",7,1
"8332566",202220,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8332566",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8332809",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8332809",202220,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8332899",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8332921",202310,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",9,1
"8332921",202310,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",9,1
"8333381",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8333453",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8333646",202220,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8334557",202220,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8335143",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",6,1
"8335143",202120,"Bachelor","Bachelor of Arts","German","CAS","GRAMEL",6,1
"8336578",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8338269",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8338485",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8338893",202220,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8338893",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8339022",202320,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",10,1
"8339022",202320,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",10,1
"8339022",202320,"Bachelor","BA Interactive Media Studies","Interactive Media Studies","CCA","IMS",10,1
"8339335",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8339550",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8339919",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8340310",202220,"Bachelor","Bachelor of Arts","Analytics","*NSD","*NSD",8,1
"8340310",202220,"Bachelor","Bachelor of Arts","Strategic Communication","CAS","MJF",8,1
"8340355",202120,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",6,1
"8340511",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8340526",202220,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8340526",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8342493",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8350002",202115,"Bachelor","Bachelor of Arts","Analytics","*NSD","*NSD",7,1
"8350002",202115,"Bachelor","Bachelor of Arts","Strategic Communication","CAS","MJF",7,1
"8350888",202310,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",9,1
"8351630",202220,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8351630",202220,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8354482",202120,"Bachelor","B.S. in Software Engineering","Analytics","*NSD","*NSD",8,1
"8354482",202120,"Bachelor","B.S. in Software Engineering","Software Engineering","CEC","CSE",8,1
"8354519",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8355890",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8357001",202230,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",10,1
"8358602",202120,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8358602",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8359278",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8359870",202020,"Bachelor","B.S. in Business","Accountancy","FSB","ACC",6,1
"8359870",202020,"Bachelor","B.S. in Business","Analytics","*NSD","*NSD",6,1
"8364375",202120,"Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8365108",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8365422",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8365711",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8366174",202120,"Bachelor","Bachelor of Science","Data Science and Statistics","CAS","STA",8,1
"8366385",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8366385",202120,"Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8366918",202120,"Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8366918",202120,"Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
